# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/prs.implied-executable	prs.implied-executable
application/prs.implied-object+json	prs.implied-object+json
application/prs.implied-object+json-seq	prs.implied-object+json-seq
application/prs.implied-object+yaml	prs.implied-object+yaml
application/prs.implied-structure	prs.implied-structure
application/prs.mayfile	prs.mayfile
application/prs.nprend	prs.nprend
application/prs.plucker	prs.plucker
application/prs.rdf-xml-crypt	prs.rdf-xml-crypt
application/prs.sclt	prs.sclt
application/prs.vcfbzip2	prs.vcfbzip2
application/prs.xsf+xml	prs.xsf+xml
application/pskc+xml	pskcxml
application/pvd+json	pvd+json
application/QSIG	qsig
application/raptorfec	raptorfec
application/rdap+json	rdap+json
application/rdf+xml	rdf
application/reginfo+xml	rif
application/relax-ng-compact-syntax	rnc
application/remote-printing	remote-printing
application/reputon+json	reputon+json
application/resolve-response+jwt	resolve-response+jwt
application/resource-lists+xml	rl
application/resource-lists-diff+xml	rld
application/rfc+xml	rfc+xml
application/riscos	riscos
application/rlmi+xml	rlmi+xml
application/rls-services+xml	rs
application/roughtime-malfeasance+json	roughtime-malfeasance+json
application/roughtime-server+json	roughtime-server+json
application/route-apd+xml	route-apd+xml
application/route-s-tsid+xml	route-s-tsid+xml
application/route-usd+xml	route-usd+xml
application/rpki-checklist	rpki-checklist
application/rpki-ghostbusters	gbr
application/rpki-manifest	mft
application/rpki-publication	rpki-publication
application/rpki-roa	roa
application/rpki-signed-tal	rpki-signed-tal
application/rpki-updown	rpki-updown
application/rs-metadata+xml	rs-metadata+xml
application/rtf	rtf
application/rtploopback	rtploopback
application/rtx	x-iana-rtx
application/samlassertion+xml	samlassertion+xml
application/samlmetadata+xml	samlmetadata+xml
application/sarif+json	sarif+json
application/sarif-external-properties+json	sarif-external-properties+json
application/sbe	sbe
application/sbml+xml	sbml
application/scaip+xml	scaip+xml
application/scim+json	scim+json
application/scitt-receipt+cose	scitt-receipt+cose
application/scitt-statement+cose	scitt-statement+cose
application/scvp-cv-request	scq
application/scvp-cv-response	scs
application/scvp-vp-request	spq
application/scvp-vp-response	spp
application/sd-jwt	sd-jwt
application/sd-jwt+json	sd-jwt+json
application/sdf+json	sdf+json
application/sdp	sdp
application/secevent+jwt	secevent+jwt
application/senml+cbor	senml+cbor
application/senml+json	senml+json
application/senml+xml	senml+xml
application/senml-etch+cbor	senml-etch+cbor
application/senml-etch+json	senml-etch+json
application/senml-exi	senml-exi
application/sensml+cbor	sensml+cbor
application/sensml+json	sensml+json
application/sensml+xml	sensml+xml
application/sensml-exi	sensml-exi
application/sep+xml	sep+xml
application/sep-exi	sep-exi
application/session-info	session-info
application/set-payment	set-payment
application/set-payment-initiation	setpay
application/set-registration	set-registration
application/set-registration-initiation	setreg
application/SGML	x-iana-sgml
application/sgml-open-catalog	sgml-open-catalog
application/shf+xml	shf
application/sieve	sieve
application/simple-filter+xml	simple-filter+xml
application/simple-message-summary	simple-message-summary
application/simpleSymbolContainer	simplesymbolcontainer
application/sipc	sipc
application/slate	slate
application/smil	x-iana-smil
application/smil+xml	smi smil
application/smpte336m	smpte336m
application/soap+fastinfoset	soap+fastinfoset
application/soap+xml	soap+xml
application/sparql-query	rq
application/sparql-results+xml	srx
application/spdx+json	spdx+json
application/spirits-event+xml	spirits-event+xml
application/sql	x-iana-sql
application/srgs	gram
application/srgs+xml	grxml
application/sru+xml	sru
application/sslkeylogfile	sslkeylogfile
application/ssml+xml	ssml
application/ST2110-41	st2110-41
application/stix+json	stix+json
application/stratum	stratum
application/suit-envelope+cose	suit-envelope+cose
application/suit-report+cose	suit-report+cose
