# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/vnd.ms-windows.printerpairing	vnd.ms-windows.printerpairing
application/vnd.ms-windows.wsd.oob	vnd.ms-windows.wsd.oob
application/vnd.ms-wmdrm.lic-chlg-req	vnd.ms-wmdrm.lic-chlg-req
application/vnd.ms-wmdrm.lic-resp	vnd.ms-wmdrm.lic-resp
application/vnd.ms-wmdrm.meter-chlg-req	vnd.ms-wmdrm.meter-chlg-req
application/vnd.ms-wmdrm.meter-resp	vnd.ms-wmdrm.meter-resp
application/vnd.ms-word.document.macroEnabled.12	docm
application/vnd.ms-word.template.macroEnabled.12	dotm
application/vnd.ms-works	wps wks wcm wdb
application/vnd.ms-wpl	wpl
application/vnd.ms-xpsdocument	xps
application/vnd.msa-disk-image	vnd.msa-disk-image
application/vnd.mseq	mseq
application/vnd.msgpack	vnd.msgpack
application/vnd.msign	vnd.msign
application/vnd.multiad.creator	vnd.multiad.creator
application/vnd.multiad.creator.cif	vnd.multiad.creator.cif
application/vnd.music-niff	vnd.music-niff
application/vnd.musician	mus
application/vnd.muvee.style	msty
application/vnd.mynfc	taglet
application/vnd.nacamar.ybrid+json	vnd.nacamar.ybrid+json
application/vnd.nato.bindingdataobject+cbor	vnd.nato.bindingdataobject+cbor
application/vnd.nato.bindingdataobject+json	vnd.nato.bindingdataobject+json
application/vnd.nato.bindingdataobject+xml	vnd.nato.bindingdataobject+xml
application/vnd.nato.openxmlformats-package.iepd+zip	vnd.nato.openxmlformats-package.iepd+zip
application/vnd.ncd.control	vnd.ncd.control
application/vnd.ncd.reference	vnd.ncd.reference
application/vnd.nearst.inv+json	vnd.nearst.inv+json
application/vnd.nebumind.line	vnd.nebumind.line
application/vnd.nervana	vnd.nervana
application/vnd.netfpx	vnd.netfpx
application/vnd.neurolanguage.nlu	nlu
application/vnd.nimn	vnd.nimn
application/vnd.nintendo.nitro.rom	vnd.nintendo.nitro.rom
application/vnd.nintendo.snes.rom	vnd.nintendo.snes.rom
application/vnd.nitf	ntf nitf
application/vnd.noblenet-directory	nnd
application/vnd.noblenet-sealer	nns
application/vnd.noblenet-web	nnw
application/vnd.nokia.catalogs	vnd.nokia.catalogs
application/vnd.nokia.conml+wbxml	vnd.nokia.conml+wbxml
application/vnd.nokia.conml+xml	vnd.nokia.conml+xml
application/vnd.nokia.iptv.config+xml	vnd.nokia.iptv.config+xml
application/vnd.nokia.iSDS-radio-presets	vnd.nokia.isds-radio-presets
application/vnd.nokia.landmark+wbxml	vnd.nokia.landmark+wbxml
application/vnd.nokia.landmark+xml	vnd.nokia.landmark+xml
application/vnd.nokia.landmarkcollection+xml	vnd.nokia.landmarkcollection+xml
application/vnd.nokia.n-gage.ac+xml	vnd.nokia.n-gage.ac+xml
application/vnd.nokia.n-gage.data	ngdat
application/vnd.nokia.n-gage.symbian.install	n-gage
application/vnd.nokia.ncd	vnd.nokia.ncd
application/vnd.nokia.pcd+wbxml	vnd.nokia.pcd+wbxml
application/vnd.nokia.pcd+xml	vnd.nokia.pcd+xml
application/vnd.nokia.radio-preset	rpst
application/vnd.nokia.radio-presets	rpss
application/vnd.novadigm.EDM	edm
application/vnd.novadigm.EDX	edx
application/vnd.novadigm.EXT	ext
application/vnd.ntt-local.content-share	vnd.ntt-local.content-share
application/vnd.ntt-local.file-transfer	vnd.ntt-local.file-transfer
application/vnd.ntt-local.ogw_remote-access	vnd.ntt-local.ogw_remote-access
application/vnd.ntt-local.sip-ta_remote	vnd.ntt-local.sip-ta_remote
application/vnd.ntt-local.sip-ta_tcp_stream	vnd.ntt-local.sip-ta_tcp_stream
application/vnd.nubaltec.nudoku-game	vnd.nubaltec.nudoku-game
application/vnd.oai.workflows	vnd.oai.workflows
application/vnd.oai.workflows+json	vnd.oai.workflows+json
application/vnd.oai.workflows+yaml	vnd.oai.workflows+yaml
application/vnd.oasis.opendocument.base	vnd.oasis.opendocument.base
application/vnd.oasis.opendocument.chart	odc
application/vnd.oasis.opendocument.chart-template	otc
application/vnd.oasis.opendocument.database	odb
application/vnd.oasis.opendocument.formula	odf
application/vnd.oasis.opendocument.formula-template	odft
application/vnd.oasis.opendocument.graphics	odg
application/vnd.oasis.opendocument.graphics-template	otg
application/vnd.oasis.opendocument.image	odi
application/vnd.oasis.opendocument.image-template	oti
application/vnd.oasis.opendocument.presentation	odp
application/vnd.oasis.opendocument.presentation-template	otp
application/vnd.oasis.opendocument.spreadsheet	ods
application/vnd.oasis.opendocument.spreadsheet-template	ots
application/vnd.oasis.opendocument.text	odt
application/vnd.oasis.opendocument.text-master	odm
application/vnd.oasis.opendocument.text-master-template	vnd.oasis.opendocument.text-master-template
application/vnd.oasis.opendocument.text-template	ott
application/vnd.oasis.opendocument.text-web	oth
application/vnd.obn	vnd.obn
application/vnd.ocf+cbor	vnd.ocf+cbor
application/vnd.oci.image.manifest.v1+json	vnd.oci.image.manifest.v1+json
application/vnd.oftn.l10n+json	vnd.oftn.l10n+json
application/vnd.oipf.contentaccessdownload+xml	vnd.oipf.contentaccessdownload+xml
application/vnd.oipf.contentaccessstreaming+xml	vnd.oipf.contentaccessstreaming+xml
application/vnd.oipf.cspg-hexbinary	vnd.oipf.cspg-hexbinary
application/vnd.oipf.dae.svg+xml	vnd.oipf.dae.svg+xml
application/vnd.oipf.dae.xhtml+xml	vnd.oipf.dae.xhtml+xml
application/vnd.oipf.mippvcontrolmessage+xml	vnd.oipf.mippvcontrolmessage+xml
application/vnd.oipf.pae.gem	vnd.oipf.pae.gem
application/vnd.oipf.spdiscovery+xml	vnd.oipf.spdiscovery+xml
application/vnd.oipf.spdlist+xml	vnd.oipf.spdlist+xml
application/vnd.oipf.ueprofile+xml	vnd.oipf.ueprofile+xml
application/vnd.oipf.userprofile+xml	vnd.oipf.userprofile+xml
application/vnd.olpc-sugar	xo
application/vnd.oma-scws-config	vnd.oma-scws-config
application/vnd.oma-scws-http-request	vnd.oma-scws-http-request
application/vnd.oma-scws-http-response	vnd.oma-scws-http-response
application/vnd.oma.bcast.associated-procedure-parameter+xml	vnd.oma.bcast.associated-procedure-parameter+xml
application/vnd.oma.bcast.drm-trigger+xml	vnd.oma.bcast.drm-trigger+xml
application/vnd.oma.bcast.imd+xml	vnd.oma.bcast.imd+xml
application/vnd.oma.bcast.ltkm	vnd.oma.bcast.ltkm
application/vnd.oma.bcast.notification+xml	vnd.oma.bcast.notification+xml
application/vnd.oma.bcast.provisioningtrigger	vnd.oma.bcast.provisioningtrigger
application/vnd.oma.bcast.sgboot	vnd.oma.bcast.sgboot
application/vnd.oma.bcast.sgdd+xml	vnd.oma.bcast.sgdd+xml
application/vnd.oma.bcast.sgdu	vnd.oma.bcast.sgdu
application/vnd.oma.bcast.simple-symbol-container	vnd.oma.bcast.simple-symbol-container
application/vnd.oma.bcast.smartcard-trigger+xml	vnd.oma.bcast.smartcard-trigger+xml
application/vnd.oma.bcast.sprov+xml	vnd.oma.bcast.sprov+xml
application/vnd.oma.bcast.stkm	vnd.oma.bcast.stkm
application/vnd.oma.cab-address-book+xml	vnd.oma.cab-address-book+xml
application/vnd.oma.cab-feature-handler+xml	vnd.oma.cab-feature-handler+xml
application/vnd.oma.cab-pcc+xml	vnd.oma.cab-pcc+xml
application/vnd.oma.cab-subs-invite+xml	vnd.oma.cab-subs-invite+xml
application/vnd.oma.cab-user-prefs+xml	vnd.oma.cab-user-prefs+xml
application/vnd.oma.dcd	vnd.oma.dcd
application/vnd.oma.dcdc	vnd.oma.dcdc
application/vnd.oma.dd2+xml	dd2
application/vnd.oma.drm.risd+xml	vnd.oma.drm.risd+xml
application/vnd.oma.group-usage-list+xml	vnd.oma.group-usage-list+xml
application/vnd.oma.lwm2m+cbor	vnd.oma.lwm2m+cbor
application/vnd.oma.lwm2m+json	vnd.oma.lwm2m+json
application/vnd.oma.lwm2m+tlv	vnd.oma.lwm2m+tlv
application/vnd.oma.pal+xml	vnd.oma.pal+xml
application/vnd.oma.poc.detailed-progress-report+xml	vnd.oma.poc.detailed-progress-report+xml
application/vnd.oma.poc.final-report+xml	vnd.oma.poc.final-report+xml
application/vnd.oma.poc.groups+xml	vnd.oma.poc.groups+xml
application/vnd.oma.poc.invocation-descriptor+xml	vnd.oma.poc.invocation-descriptor+xml
application/vnd.oma.poc.optimized-progress-report+xml	vnd.oma.poc.optimized-progress-report+xml
application/vnd.oma.push	vnd.oma.push
application/vnd.oma.scidm.messages+xml	vnd.oma.scidm.messages+xml
application/vnd.oma.xcap-directory+xml	vnd.oma.xcap-directory+xml
application/vnd.omads-email+xml	vnd.omads-email+xml
application/vnd.omads-file+xml	vnd.omads-file+xml
application/vnd.omads-folder+xml	vnd.omads-folder+xml
application/vnd.omaloc-supl-init	vnd.omaloc-supl-init
application/vnd.oms.cellular-cose-content+cbor	vnd.oms.cellular-cose-content+cbor
application/vnd.onepager	vnd.onepager
application/vnd.onepagertamp	vnd.onepagertamp
application/vnd.onepagertamx	vnd.onepagertamx
application/vnd.onepagertat	vnd.onepagertat
application/vnd.onepagertatp	vnd.onepagertatp
application/vnd.onepagertatx	vnd.onepagertatx
application/vnd.onvif.metadata	vnd.onvif.metadata
application/vnd.openblox.game+xml	vnd.openblox.game+xml
application/vnd.openblox.game-binary	vnd.openblox.game-binary
application/vnd.openeye.oeb	vnd.openeye.oeb
application/vnd.openprinttag	vnd.openprinttag
application/vnd.openstreetmap.data+xml	vnd.openstreetmap.data+xml
application/vnd.opentimestamps.ots	vnd.opentimestamps.ots
application/vnd.openvpi.dspx+json	vnd.openvpi.dspx+json
application/vnd.openxmlformats-officedocument.custom-properties+xml	vnd.openxmlformats-officedocument.custom-properties+xml
application/vnd.openxmlformats-officedocument.customXmlProperties+xml	vnd.openxmlformats-officedocument.customxmlproperties+xml
application/vnd.openxmlformats-officedocument.drawing+xml	vnd.openxmlformats-officedocument.drawing+xml
application/vnd.openxmlformats-officedocument.drawingml.chart+xml	vnd.openxmlformats-officedocument.drawingml.chart+xml
application/vnd.openxmlformats-officedocument.drawingml.chartshapes+xml	vnd.openxmlformats-officedocument.drawingml.chartshapes+xml
application/vnd.openxmlformats-officedocument.drawingml.diagramColors+xml	vnd.openxmlformats-officedocument.drawingml.diagramcolors+xml
application/vnd.openxmlformats-officedocument.drawingml.diagramData+xml	vnd.openxmlformats-officedocument.drawingml.diagramdata+xml
application/vnd.openxmlformats-officedocument.drawingml.diagramLayout+xml	vnd.openxmlformats-officedocument.drawingml.diagramlayout+xml
application/vnd.openxmlformats-officedocument.drawingml.diagramStyle+xml	vnd.openxmlformats-officedocument.drawingml.diagramstyle+xml
application/vnd.openxmlformats-officedocument.extended-properties+xml	vnd.openxmlformats-officedocument.extended-properties+xml
application/vnd.openxmlformats-officedocument.presentationml.commentAuthors+xml	vnd.openxmlformats-officedocument.presentationml.commentauthors+xml
application/vnd.openxmlformats-officedocument.presentationml.comments+xml	vnd.openxmlformats-officedocument.presentationml.comments+xml
application/vnd.openxmlformats-officedocument.presentationml.handoutMaster+xml	vnd.openxmlformats-officedocument.presentationml.handoutmaster+xml
application/vnd.openxmlformats-officedocument.presentationml.notesMaster+xml	vnd.openxmlformats-officedocument.presentationml.notesmaster+xml
application/vnd.openxmlformats-officedocument.presentationml.notesSlide+xml	vnd.openxmlformats-officedocument.presentationml.notesslide+xml
application/vnd.openxmlformats-officedocument.presentationml.presentation	pptx
application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml	vnd.openxmlformats-officedocument.presentationml.presentation.main+xml
application/vnd.openxmlformats-officedocument.presentationml.presProps+xml	vnd.openxmlformats-officedocument.presentationml.presprops+xml
application/vnd.openxmlformats-officedocument.presentationml.slide	sldx
application/vnd.openxmlformats-officedocument.presentationml.slide+xml	vnd.openxmlformats-officedocument.presentationml.slide+xml
application/vnd.openxmlformats-officedocument.presentationml.slideLayout+xml	vnd.openxmlformats-officedocument.presentationml.slidelayout+xml
application/vnd.openxmlformats-officedocument.presentationml.slideMaster+xml	vnd.openxmlformats-officedocument.presentationml.slidemaster+xml
application/vnd.openxmlformats-officedocument.presentationml.slideshow	ppsx
application/vnd.openxmlformats-officedocument.presentationml.slideshow.main+xml	vnd.openxmlformats-officedocument.presentationml.slideshow.main+xml
application/vnd.openxmlformats-officedocument.presentationml.slideUpdateInfo+xml	vnd.openxmlformats-officedocument.presentationml.slideupdateinfo+xml
application/vnd.openxmlformats-officedocument.presentationml.tableStyles+xml	vnd.openxmlformats-officedocument.presentationml.tablestyles+xml
application/vnd.openxmlformats-officedocument.presentationml.tags+xml	vnd.openxmlformats-officedocument.presentationml.tags+xml
application/vnd.openxmlformats-officedocument.presentationml.template	potx
application/vnd.openxmlformats-officedocument.presentationml.template.main+xml	vnd.openxmlformats-officedocument.presentationml.template.main+xml
application/vnd.openxmlformats-officedocument.presentationml.viewProps+xml	vnd.openxmlformats-officedocument.presentationml.viewprops+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.calcChain+xml	vnd.openxmlformats-officedocument.spreadsheetml.calcchain+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.chartsheet+xml	vnd.openxmlformats-officedocument.spreadsheetml.chartsheet+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.comments+xml	vnd.openxmlformats-officedocument.spreadsheetml.comments+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.connections+xml	vnd.openxmlformats-officedocument.spreadsheetml.connections+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.dialogsheet+xml	vnd.openxmlformats-officedocument.spreadsheetml.dialogsheet+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.externalLink+xml	vnd.openxmlformats-officedocument.spreadsheetml.externallink+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheDefinition+xml	vnd.openxmlformats-officedocument.spreadsheetml.pivotcachedefinition+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheRecords+xml	vnd.openxmlformats-officedocument.spreadsheetml.pivotcacherecords+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.pivotTable+xml	vnd.openxmlformats-officedocument.spreadsheetml.pivottable+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.queryTable+xml	vnd.openxmlformats-officedocument.spreadsheetml.querytable+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.revisionHeaders+xml	vnd.openxmlformats-officedocument.spreadsheetml.revisionheaders+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.revisionLog+xml	vnd.openxmlformats-officedocument.spreadsheetml.revisionlog+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.sharedStrings+xml	vnd.openxmlformats-officedocument.spreadsheetml.sharedstrings+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	xlsx
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml	vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.sheetMetadata+xml	vnd.openxmlformats-officedocument.spreadsheetml.sheetmetadata+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.styles+xml	vnd.openxmlformats-officedocument.spreadsheetml.styles+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.table+xml	vnd.openxmlformats-officedocument.spreadsheetml.table+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.tableSingleCells+xml	vnd.openxmlformats-officedocument.spreadsheetml.tablesinglecells+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.template	xltx
application/vnd.openxmlformats-officedocument.spreadsheetml.template.main+xml	vnd.openxmlformats-officedocument.spreadsheetml.template.main+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.userNames+xml	vnd.openxmlformats-officedocument.spreadsheetml.usernames+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.volatileDependencies+xml	vnd.openxmlformats-officedocument.spreadsheetml.volatiledependencies+xml
application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml	vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml
application/vnd.openxmlformats-officedocument.theme+xml	vnd.openxmlformats-officedocument.theme+xml
application/vnd.openxmlformats-officedocument.themeOverride+xml	vnd.openxmlformats-officedocument.themeoverride+xml
application/vnd.openxmlformats-officedocument.vmlDrawing	vnd.openxmlformats-officedocument.vmldrawing
application/vnd.openxmlformats-officedocument.wordprocessingml.comments+xml	vnd.openxmlformats-officedocument.wordprocessingml.comments+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.document	docx
application/vnd.openxmlformats-officedocument.wordprocessingml.document.glossary+xml	vnd.openxmlformats-officedocument.wordprocessingml.document.glossary+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.document.main+xml	vnd.openxmlformats-officedocument.wordprocessingml.document.main+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.endnotes+xml	vnd.openxmlformats-officedocument.wordprocessingml.endnotes+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.fontTable+xml	vnd.openxmlformats-officedocument.wordprocessingml.fonttable+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.footer+xml	vnd.openxmlformats-officedocument.wordprocessingml.footer+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.footnotes+xml	vnd.openxmlformats-officedocument.wordprocessingml.footnotes+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.numbering+xml	vnd.openxmlformats-officedocument.wordprocessingml.numbering+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.settings+xml	vnd.openxmlformats-officedocument.wordprocessingml.settings+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.styles+xml	vnd.openxmlformats-officedocument.wordprocessingml.styles+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.template	dotx
application/vnd.openxmlformats-officedocument.wordprocessingml.template.main+xml	vnd.openxmlformats-officedocument.wordprocessingml.template.main+xml
application/vnd.openxmlformats-officedocument.wordprocessingml.webSettings+xml	vnd.openxmlformats-officedocument.wordprocessingml.websettings+xml
application/vnd.openxmlformats-package.core-properties+xml	vnd.openxmlformats-package.core-properties+xml
application/vnd.openxmlformats-package.digital-signature-xmlsignature+xml	vnd.openxmlformats-package.digital-signature-xmlsignature+xml
application/vnd.openxmlformats-package.relationships+xml	vnd.openxmlformats-package.relationships+xml
application/vnd.oracle.resource+json	vnd.oracle.resource+json
application/vnd.orange.indata	vnd.orange.indata
application/vnd.osa.netdeploy	vnd.osa.netdeploy
application/vnd.osgeo.mapguide.package	mgp
application/vnd.osgi.bundle	vnd.osgi.bundle
application/vnd.osgi.dp	dp
application/vnd.osgi.subsystem	esa
application/vnd.otps.ct-kip+xml	vnd.otps.ct-kip+xml
application/vnd.oxli.countgraph	vnd.oxli.countgraph
application/vnd.pagerduty+json	vnd.pagerduty+json
application/vnd.palm	pdb pqa oprc
application/vnd.panoply	vnd.panoply
application/vnd.paos.xml	vnd.paos.xml
application/vnd.patentdive	vnd.patentdive
application/vnd.patientecommsdoc	vnd.patientecommsdoc
application/vnd.pawaafile	paw
application/vnd.pcos	vnd.pcos
application/vnd.pg.format	str
application/vnd.pg.osasli	ei6
application/vnd.phbk+xml	vnd.phbk+xml
application/vnd.piaccess.application-licence	vnd.piaccess.application-licence
application/vnd.picsel	efif
application/vnd.pmi.widget	wg
application/vnd.pmtiles	vnd.pmtiles
application/vnd.poc.group-advertisement+xml	vnd.poc.group-advertisement+xml
application/vnd.pocketlearn	plf
application/vnd.powerbuilder6	pbd
application/vnd.powerbuilder6-s	vnd.powerbuilder6-s
application/vnd.powerbuilder7	vnd.powerbuilder7
application/vnd.powerbuilder7-s	vnd.powerbuilder7-s
application/vnd.powerbuilder75	vnd.powerbuilder75
application/vnd.powerbuilder75-s	vnd.powerbuilder75-s
application/vnd.pp.systemverify+xml	vnd.pp.systemverify+xml
application/vnd.preminet	vnd.preminet
application/vnd.previewsystems.box	box
application/vnd.project-graph	vnd.project-graph
application/vnd.proteus.magazine	mgz
application/vnd.psfs	vnd.psfs
application/vnd.pt.mundusmundi	vnd.pt.mundusmundi
application/vnd.publishare-delta-tree	qps
application/vnd.pvi.ptid1	ptid
application/vnd.pwg-multiplexed	vnd.pwg-multiplexed
application/vnd.pwg-xhtml-print+xml	vnd.pwg-xhtml-print+xml
application/vnd.pyon+json	vnd.pyon+json
application/vnd.qualcomm.brew-app-res	vnd.qualcomm.brew-app-res
application/vnd.quarantainenet	vnd.quarantainenet
application/vnd.Quark.QuarkXPress	qxd qxt qwd qwt qxl qxb
application/vnd.quobject-quoxdocument	vnd.quobject-quoxdocument
application/vnd.R74n.sandboxels+json	vnd.r74n.sandboxels+json
application/vnd.radisys.moml+xml	vnd.radisys.moml+xml
application/vnd.radisys.msml+xml	vnd.radisys.msml+xml
application/vnd.radisys.msml-audit+xml	vnd.radisys.msml-audit+xml
application/vnd.radisys.msml-audit-conf+xml	vnd.radisys.msml-audit-conf+xml
application/vnd.radisys.msml-audit-conn+xml	vnd.radisys.msml-audit-conn+xml
application/vnd.radisys.msml-audit-dialog+xml	vnd.radisys.msml-audit-dialog+xml
application/vnd.radisys.msml-audit-stream+xml	vnd.radisys.msml-audit-stream+xml
application/vnd.radisys.msml-conf+xml	vnd.radisys.msml-conf+xml
application/vnd.radisys.msml-dialog+xml	vnd.radisys.msml-dialog+xml
application/vnd.radisys.msml-dialog-base+xml	vnd.radisys.msml-dialog-base+xml
application/vnd.radisys.msml-dialog-fax-detect+xml	vnd.radisys.msml-dialog-fax-detect+xml
application/vnd.radisys.msml-dialog-fax-sendrecv+xml	vnd.radisys.msml-dialog-fax-sendrecv+xml
application/vnd.radisys.msml-dialog-group+xml	vnd.radisys.msml-dialog-group+xml
application/vnd.radisys.msml-dialog-speech+xml	vnd.radisys.msml-dialog-speech+xml
application/vnd.radisys.msml-dialog-transform+xml	vnd.radisys.msml-dialog-transform+xml
application/vnd.rainstor.data	vnd.rainstor.data
application/vnd.rapid	vnd.rapid
application/vnd.rar	vnd.rar
application/vnd.realvnc.bed	bed
application/vnd.recordare.musicxml	mxl
application/vnd.recordare.musicxml+xml	musicxml
application/vnd.rego	vnd.rego
application/vnd.relpipe	vnd.relpipe
application/vnd.RenLearn.rlprint	vnd.renlearn.rlprint
application/vnd.resilient.logic	vnd.resilient.logic
application/vnd.restful+json	vnd.restful+json
application/vnd.rig.cryptonote	cryptonote
application/vnd.route66.link66+xml	link66
application/vnd.rs-274x	vnd.rs-274x
application/vnd.ruckus.download	vnd.ruckus.download
application/vnd.s3sms	vnd.s3sms
application/vnd.sailingtracker.track	st
application/vnd.sar	vnd.sar
application/vnd.sbm.cid	vnd.sbm.cid
application/vnd.sbm.mid2	vnd.sbm.mid2
application/vnd.scribus	vnd.scribus
application/vnd.sealed.3df	vnd.sealed.3df
application/vnd.sealed.csf	vnd.sealed.csf
application/vnd.sealed.doc	vnd.sealed.doc
application/vnd.sealed.eml	vnd.sealed.eml
application/vnd.sealed.mht	vnd.sealed.mht
application/vnd.sealed.net	vnd.sealed.net
application/vnd.sealed.ppt	vnd.sealed.ppt
application/vnd.sealed.tiff	vnd.sealed.tiff
application/vnd.sealed.xls	vnd.sealed.xls
application/vnd.sealedmedia.softseal.html	vnd.sealedmedia.softseal.html
application/vnd.sealedmedia.softseal.pdf	vnd.sealedmedia.softseal.pdf
application/vnd.seemail	see
application/vnd.seis+json	vnd.seis+json
application/vnd.sema	sema
application/vnd.semd	semd
application/vnd.semf	semf
application/vnd.shade-save-file	vnd.shade-save-file
application/vnd.shana.informed.formdata	ifm
application/vnd.shana.informed.formtemplate	itp
application/vnd.shana.informed.interchange	iif
application/vnd.shana.informed.package	ipk
application/vnd.shootproof+json	vnd.shootproof+json
application/vnd.shopkick+json	vnd.shopkick+json
application/vnd.shp	vnd.shp
application/vnd.shx	vnd.shx
application/vnd.sigrok.session	vnd.sigrok.session
application/vnd.SimTech-MindMapper	twd twds
application/vnd.siren+json	vnd.siren+json
application/vnd.sirtx.vmv0	vnd.sirtx.vmv0
application/vnd.sketchometry	vnd.sketchometry
application/vnd.smaf	mmf
application/vnd.smart.notebook	vnd.smart.notebook
application/vnd.smart.teacher	teacher
application/vnd.smintio.portals.archive	vnd.smintio.portals.archive
application/vnd.snesdev-page-table	vnd.snesdev-page-table
application/vnd.software602.filler.form+xml	vnd.software602.filler.form+xml
application/vnd.software602.filler.form-xml-zip	vnd.software602.filler.form-xml-zip
application/vnd.solent.sdkm+xml	sdkm sdkd
application/vnd.spotfire.dxp	dxp
application/vnd.spotfire.sfs	sfs
application/vnd.sqlite3	vnd.sqlite3
application/vnd.sri	vnd.sri
application/vnd.sss-cod	vnd.sss-cod
application/vnd.sss-dtf	vnd.sss-dtf
application/vnd.sss-ntf	vnd.sss-ntf
application/vnd.stepmania.package	smzip
application/vnd.stepmania.stepchart	sm
application/vnd.street-stream	vnd.street-stream
application/vnd.sun.wadl+xml	vnd.sun.wadl+xml
application/vnd.superfile.super	vnd.superfile.super
application/vnd.sus-calendar	sus susp
application/vnd.svd	svd
application/vnd.swiftview-ics	vnd.swiftview-ics
application/vnd.sybyl.mol2	vnd.sybyl.mol2
application/vnd.sycle+xml	vnd.sycle+xml
application/vnd.syft+json	vnd.syft+json
application/vnd.syncml+xml	xsm
application/vnd.syncml.dm+wbxml	bdm
application/vnd.syncml.dm+xml	xdm
application/vnd.syncml.dm.notification	vnd.syncml.dm.notification
application/vnd.syncml.dmddf+wbxml	vnd.syncml.dmddf+wbxml
application/vnd.syncml.dmddf+xml	vnd.syncml.dmddf+xml
application/vnd.syncml.dmtnds+wbxml	vnd.syncml.dmtnds+wbxml
application/vnd.syncml.dmtnds+xml	vnd.syncml.dmtnds+xml
application/vnd.syncml.ds.notification	vnd.syncml.ds.notification
application/vnd.tableschema+json	vnd.tableschema+json
application/vnd.tao.intent-module-archive	tao
application/vnd.tcpdump.pcap	pcap cap dmp
application/vnd.think-cell.ppttc+json	vnd.think-cell.ppttc+json
application/vnd.tmd.mediaflex.api+xml	vnd.tmd.mediaflex.api+xml
application/vnd.tml	vnd.tml
application/vnd.tmobile-livetv	tmo
application/vnd.tri.onesource	vnd.tri.onesource
application/vnd.trid.tpt	tpt
application/vnd.triscape.mxs	mxs
application/vnd.trueapp	tra
application/vnd.truedoc	vnd.truedoc
application/vnd.ubisoft.webplayer	vnd.ubisoft.webplayer
application/vnd.ufdl	ufd ufdl
application/vnd.uic.dosipas.v1	vnd.uic.dosipas.v1
application/vnd.uic.dosipas.v2	vnd.uic.dosipas.v2
application/vnd.uic.osdm+json	vnd.uic.osdm+json
application/vnd.uic.tlb-fcb	vnd.uic.tlb-fcb
application/vnd.uiq.theme	utz
application/vnd.umajin	umj
application/vnd.unity	unityweb
application/vnd.uoml+xml	uoml
application/vnd.uplanet.alert	vnd.uplanet.alert
application/vnd.uplanet.alert-wbxml	vnd.uplanet.alert-wbxml
application/vnd.uplanet.bearer-choice	vnd.uplanet.bearer-choice
application/vnd.uplanet.bearer-choice-wbxml	vnd.uplanet.bearer-choice-wbxml
application/vnd.uplanet.cacheop	vnd.uplanet.cacheop
application/vnd.uplanet.cacheop-wbxml	vnd.uplanet.cacheop-wbxml
application/vnd.uplanet.channel	vnd.uplanet.channel
application/vnd.uplanet.channel-wbxml	vnd.uplanet.channel-wbxml
application/vnd.uplanet.list	vnd.uplanet.list
application/vnd.uplanet.list-wbxml	vnd.uplanet.list-wbxml
application/vnd.uplanet.listcmd	vnd.uplanet.listcmd
application/vnd.uplanet.listcmd-wbxml	vnd.uplanet.listcmd-wbxml
application/vnd.uplanet.signal	vnd.uplanet.signal
application/vnd.uri-map	vnd.uri-map
application/vnd.valve.source.material	vnd.valve.source.material
application/vnd.vcx	vcx
application/vnd.vd-study	vnd.vd-study
application/vnd.vectorworks	vnd.vectorworks
